logradouro,numero,bairro,cep,cidade,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,anuncio_criado,tipo_anuncio,preco_venda,taxa_condominio,periodicidade,preco_aluguel,iptu_ano
Rua General Jardim,840,Vila Buarque,01223010,São Paulo,Apartamento,230,3,3,3,1,2017-12-14,Venda,1190000,1889,NA,NA,448
Rua Bahia,107,Higienópolis,01244001,São Paulo,Apartamento,135,0,1,3,1,2018-05-22,Locação,3500,770,MONTHLY,4270,0
Avenida Professor Fonseca Rodrigues,1704,Alto de Pinheiros,05461010,São Paulo,Condomínio,464,3,4,4,4,2018-06-06,Venda,5040000,NA,NA,NA,NA
Rua General Jardim,NA,Vila Buarque,01223010,São Paulo,Apartamento,225,1,2,2,2,2019-02-19,Venda,1323000,2574,NA,NA,598
Rua Itacolomi,67,Higienópolis,01239020,São Paulo,Apartamento,320,3,2,4,2,2017-11-23,Venda,1959999,2450,NA,NA,315
Rua General Jardim,812,Vila Buarque,01223010,São Paulo,Apartamento,86,2,0,2,0,2017-08-21,Venda,406000,489,NA,NA,NA
Rua Maranhão,565,Higienópolis,01240001,São Paulo,Apartamento,235,2,1,4,2,2017-10-25,Venda,1386000,1819,NA,NA,0
Rua Dom Rosalvo,141,Sumarezinho,05442030,São Paulo,Cobertura,400,6,3,3,4,2017-04-13,Venda,2800000,2450,NA,NA,840
Rua Gustavo Teixeira,NA,Pacaembu,01236010,São Paulo,Casa,480,6,2,4,3,2016-06-28,Venda,2800000,0,NA,NA,637
Rua Maranhão,NA,Higienópolis,01240001,São Paulo,Apartamento,140,3,1,3,1,2018-04-20,Venda,1042999,700,NA,NA,1596
Rua Maranhão,368,Higienópolis,01240000,São Paulo,Apartamento,280,3,1,3,2,2018-10-27,Venda,2156000,2310,NA,NA,560
Rua Maranhão,NA,Higienópolis,01240001,São Paulo,Apartamento,107,0,2,3,1,2018-07-12,Venda,875000,735,NA,NA,103
Rua Maranhão,NA,Higienópolis,01240000,São Paulo,Flat,50,2,1,2,1,2019-01-14,Venda,399000,1949,NA,NA,0
Praça Vilaboim,68,Higienópolis,01241010,São Paulo,Apartamento,44,1,0,1,0,2018-11-14,Locação,1540,528,MONTHLY,2068,63
Rua Marquês de Itu,61,Vila Buarque,01223001,São Paulo,Comercial,188,0,0,0,5,2018-11-08,Venda,1186164,2422,NA,NA,107797
Rua Euclídes de Andrade,51,Vila Madalena,05030030,São Paulo,Apartamento,71,2,1,2,1,2018-02-14,Venda,693699,70,NA,NA,70
Rua Padre Agostinho Mendicute,68,Sumaré,01257090,São Paulo,Casa,130,1,0,3,2,2017-04-13,Venda,686000,0,NA,NA,0
Avenida Pompéia,2361,Vila Anglo Brasileira,05022000,São Paulo,Apartamento,67,2,1,3,1,2018-02-08,Venda,490559,0,NA,NA,0
Praça Vilaboim,68,Higienópolis,01241010,São Paulo,Apartamento,40,1,0,1,0,2018-11-02,Locação,1540,528,MONTHLY,2068,0
Rua Maranhão,441,Higienópolis,01227000,São Paulo,Apartamento,240,1,1,2,1,2015-11-18,Venda,1610000,1365,NA,NA,2275
Avenida Doutor Bernardino Brito Fonseca de Carvalho,NA,Vila Talarico,03535000,São Paulo,Apartamento,43,1,0,2,0,2018-07-04,Venda,182000,210,NA,NA,0
Rua Oscar Caravelas,334,Sumarezinho,05441000,São Paulo,Apartamento,140,3,1,3,3,2016-09-22,Venda,1014999,1393,NA,NA,0
Rua Colonial das Missoes,570,Itaquera,08210120,São Paulo,Apartamento,55,1,0,2,1,2018-12-22,Venda,188930,280,NA,NA,0
Rua Marquês de Itu,61,Vila Buarque,01223000,São Paulo,Escritório,377,4,0,0,10,2018-07-24,Locação,11550,4844,MONTHLY,16394,2479
NA,NA,Sumaré,NA,São Paulo,Casa,196,1,1,4,NA,2018-08-21,Venda,896000,NA,NA,NA,NA
Rua Euclídes de Andrade,NA,Vila Anglo Brasileira,05030030,São Paulo,Apartamento,47,1,1,1,1,2018-02-04,Venda,418941,NA,NA,NA,NA
Rua Rifaina,85,Vila Anglo Brasileira,05029020,São Paulo,Apartamento,65,2,0,2,1,2018-11-23,Venda,385000,441,NA,NA,35
Rua Doutor Paulo Vieira,NA,Sumaré,01257000,São Paulo,Apartamento,127,4,3,3,4,2018-08-28,Venda,1347500,770,NA,NA,336
Rua Piauí,1145,Higienópolis,01241001,São Paulo,Apartamento,152,4,1,3,1,2018-09-25,Venda,1372000,1120,NA,NA,NA
Rua Dom Rosalvo,74,Sumarezinho,05442030,São Paulo,Casa,277,5,2,3,2,2018-11-22,Venda,1190000,0,NA,NA,770
Rua Doutor Paulo Vieira,NA,Sumaré,01257000,São Paulo,Apartamento,87,2,1,3,1,2018-08-30,Venda,525000,525,NA,NA,56
Rua Caetano Lama,69,Jardim Bonifacio,08253090,São Paulo,Apartamento,55,1,NA,3,1,2019-02-21,Venda,122499,118,NA,NA,NA
Rua Apinajés,1730,Sumaré,05017000,São Paulo,Apartamento,110,2,1,3,3,2017-11-23,Venda,707000,1470,NA,NA,315
Rua Alagoas,974,Higienópolis,01242000,São Paulo,Flat,35,1,NA,1,1,2018-06-21,Locação,2397,770,MONTHLY,3167,70
Rua Bruxelas,288,Sumaré,01259020,São Paulo,Escritório,132,2,0,0,4,2017-04-13,Locação,9170,4879,MONTHLY,14049,1129
Avenida Higienópolis,NA,Higienópolis,01238000,São Paulo,Apartamento,155,0,1,3,2,2018-08-11,Venda,1155000,1365,NA,NA,346
Avenida Angélica,1189,Santa Cecilia,01227100,São Paulo,Apartamento,140,1,0,2,1,2018-10-27,Venda,944999,735,NA,NA,182
Rua Apinajés,1587,Sumaré,01258001,São Paulo,Casa,220,3,1,3,5,2018-07-19,Venda,979999,0,NA,NA,268
Rua Marquês de Itu,NA,Vila Buarque,01223000,São Paulo,Apartamento,41,1,0,1,1,2019-02-12,Venda,336000,287,NA,NA,49
Rua Cayowaá,1884,Perdizes,05018000,São Paulo,Apartamento,165,1,1,3,1,2018-03-07,Locação,2310,735,MONTHLY,3045,188
Rua Marquês de Itu,140,Vila Buarque,01223000,São Paulo,Kitnet,31,1,0,1,0,2018-11-28,Venda,197330,154,NA,NA,0
Rua Cardoso de Almeida,1506,Perdizes,05013001,São Paulo,Comercial,400,3,0,1,2,2017-04-13,Locação,3849,0,MONTHLY,3850,385
Avenida Higienópolis,NA,Higienópolis,01238001,São Paulo,Apartamento,300,3,1,4,3,2017-05-04,Venda,2029999,2660,NA,NA,287
Rua Barão de Bocaina,NA,Higienópolis,01241020,São Paulo,Apartamento,265,3,3,3,4,2018-11-16,Venda,2420600,3150,NA,NA,1225
Avenida Higienópolis,683,Consolação,01238001,São Paulo,Apartamento,317,0,1,4,3,2017-01-25,Venda,2450000,1987,NA,NA,735
Rua Marquês de Itu,836,Vila Buarque,01223000,São Paulo,Apartamento,73,2,2,2,1,2018-09-12,Locação,2240,1120,MONTHLY,3360,0
Avenida Higienópolis,NA,Higienópolis,01238000,São Paulo,Apartamento,270,4,1,3,2,2018-11-20,Venda,2450000,1931,NA,NA,630
Avenida Angélica,1189,Santa Cecilia,01227100,São Paulo,Apartamento,175,2,1,2,1,2017-04-25,Venda,979999,770,NA,NA,151
Rua Marquês de Itu,836,Vila Buarque,01223000,São Paulo,Flat,48,1,1,1,1,2018-09-27,Locação,840,1134,MONTHLY,1973,125
Rua Marquês de Itu,836,Vila Buarque,01223001,São Paulo,Flat,42,1,NA,1,1,2018-06-21,Locação,1666,770,MONTHLY,2436,70
Rua Piauí,1164,Higienópolis,01241000,São Paulo,Comercial,74,2,0,3,2,2018-11-28,Locação,4200,0,MONTHLY,4200,46
Rua Marquês de Itu,NA,Vila Buarque,01223000,São Paulo,Escritório,258,2,0,0,0,2017-08-09,Locação,2800,1875,MONTHLY,4676,451
Rua Amaral Gurgel,166,Vila Buarque,01221000,São Paulo,Apartamento,67,1,0,1,0,2017-04-19,Venda,244999,245,NA,NA,0
Rua Bento Freitas,NA,República,01220000,São Paulo,Apartamento,34,1,NA,1,1,2018-03-06,Venda,241149,NA,NA,NA,0
Rua Marquês de Itu,96,Vila Buarque,01223000,São Paulo,Apartamento,48,1,0,1,1,2018-12-12,Venda,307300,315,NA,NA,0
Rua Coronel Marques,321,Vila Nova Manchester,03402001,São Paulo,Depósito,720,0,0,0,0,2016-04-26,Locação,10500,NA,MONTHLY,10500,658
Rua Antônio de Lucena,155,Chácara Califórnia,03407050,São Paulo,Apartamento,1,2,1,3,2,2017-10-28,Venda,647500,450,NA,NA,219
Rua Serra de Bragança,1555,Vila Gomes Cardim,03318000,São Paulo,Apartamento,89,1,1,3,2,2015-11-27,Venda,892500,630,NA,NA,0
Rua Rodrigues Velho,1,Vila California,03407070,São Paulo,Apartamento,106,3,1,3,2,2017-05-03,Venda,623000,450,NA,NA,199
Rua Itapura,633,Vila Gomes Cardim,03310000,São Paulo,Apartamento,67,1,1,2,2,2018-08-15,Venda,415800,454,NA,NA,96
Rua Serra de Botucatu,880,Tatuapé,03317000,São Paulo,Escritório,37,2,0,0,1,2018-04-17,Locação,1190,426,MONTHLY,1616,189
Rua Monte Serrat,658,Tatuapé,03312000,São Paulo,Apartamento,62,1,0,2,0,2018-08-15,Venda,273000,199,NA,NA,NA
Rua Serra de Bragança,1555,Vila Gomes Cardim,03318000,São Paulo,Apartamento,72,1,1,2,2,2019-02-23,Venda,556500,454,NA,NA,244
Rua Serra de Botucatu,880,Tatuapé,03317000,São Paulo,Escritório,34,2,0,0,1,2017-04-13,Locação,1400,434,MONTHLY,1833,105
Rua Baltazar Pinto,110,Vila Matilde,00000000,São Paulo,Casa de dois andares,168,3,1,3,2,2018-09-13,Venda,381500,NA,NA,NA,105
Largo do Paissandu,72,Centro,01034010,São Paulo,Comercial,30,1,0,0,0,2018-07-17,Venda,140000,159,NA,NA,700
Avenida Azevedo,471,Vila Azevedo,03308000,São Paulo,Apartamento,75,2,1,3,2,2015-12-10,Venda,406000,237,NA,NA,NA
Rua Serra de Bragança,1555,Vila Gomes Cardim,03318000,São Paulo,Apartamento,50,1,0,1,1,2018-03-13,Venda,385000,294,NA,NA,133
Rua Serra de Bragança,1555,Vila Gomes Cardim,03318000,São Paulo,Apartamento,71,2,1,1,2,2019-02-23,Venda,455000,350,NA,NA,244
Rua Silva Lisboa,105,Vila Nhocune,03562050,São Paulo,Casa de dois andares,110,1,0,2,1,2017-04-13,Venda,280000,0,NA,NA,0
Rua Fernandes Pinheiro,449,Tatuapé,03308060,São Paulo,Comercial,1450,3,0,0,20,2019-02-20,Locação,42000,NA,MONTHLY,42000,NA
Rua Acotipa,1,Itaquera,08210040,São Paulo,Condomínio,57,3,2,2,1,2017-04-18,Venda,174300,NA,NA,NA,NA
Avenida Waldemar Carlos Pereira,453,Vila Talarico,03533001,São Paulo,Comercial,250,2,0,0,0,2017-09-20,Locação,3849,NA,MONTHLY,3849,NA
Rua Tijuco Preto,393,Tatuapé,03316000,São Paulo,Escritório,43,2,0,0,1,2017-05-05,Locação,1400,273,MONTHLY,1673,104
Rua Queriri,210,Chácara Califórnia,03442110,São Paulo,Apartamento,54,1,0,2,0,2019-02-01,Venda,182000,NA,NA,NA,NA
Avenida São João,313,Centro,01036000,São Paulo,Escritório,345,4,0,0,0,2018-07-04,Locação,9800,2184,MONTHLY,11984,553
Rua Luís Squilace,222,Parque Continental,05326010,São Paulo,Apartamento,54,1,0,2,1,2015-05-26,Venda,217000,230,NA,NA,NA
Avenida Presidente Altíno,1543,Jaguare,00000000,São Paulo,Apartamento,50,2,1,2,2,2018-12-14,Venda,245175,0,NA,NA,0
Rua Caetanópolis,940,Jaguaré,05335120,São Paulo,Apartamento,50,1,0,2,1,2018-07-13,Venda,244999,261,NA,NA,77
Rua Maranh,295,Perdizes,01259000,São Paulo,Apartamento,74,0,2,2,2,2018-08-17,Venda,573300,0,NA,NA,0
Rua Cayowaá,1575,Perdizes,05018000,São Paulo,Apartamento,258,5,3,4,4,2018-07-12,Venda,2450000,1540,NA,NA,350
Rua Doutor Paulo Vieira,359,Perdizes,01257000,São Paulo,Apartamento,135,3,3,3,3,2018-12-04,Venda,1246000,489,NA,NA,350
Rua André Dreifus,NA,Sumaré,01252010,São Paulo,Apartamento,165,3,1,3,2,2018-02-24,Venda,1042999,770,NA,NA,189
Rua Santa Leonor,158,Jaguaré,05330030,São Paulo,Casa,120,4,1,3,2,2018-07-18,Venda,385000,NA,NA,NA,210
Rua Cayowaá,1554,Perdizes,01258010,São Paulo,Comercial,500,18,0,0,3,2018-01-12,Locação,17500,0,MONTHLY,17500,0
Rua Doutor Paulo Vieira,374,Sumaré,01257000,São Paulo,Apartamento,96,2,1,3,1,2016-12-07,Locação,1819,496,MONTHLY,2317,52
Rua Professor João Arruda,NA,Perdizes,05012000,São Paulo,Loteamento Comercial,850,0,0,0,0,2018-11-13,Venda,4200000,NA,NA,NA,1085
Rua Barcelona,43,Jaguaré,05331010,São Paulo,Comercial,739,3,3,4,2,2019-02-14,Venda,1039674,NA,NA,NA,NA
Rua Aimberê,1485,Perdizes,05018011,São Paulo,Apartamento,86,2,NA,3,1,2018-10-18,Venda,651000,909,NA,NA,392
Rua Havaí,NA,Sumaré,01259000,São Paulo,Apartamento,160,2,2,3,3,2019-02-23,Locação,3080,1260,MONTHLY,4340,385
Rua Berlioz,NA,Alto de Pinheiros,05467000,São Paulo,Casa,340,4,3,3,4,2016-03-28,Locação,17500,70,MONTHLY,17570,1610
Rua Havaí,0,Perdizes,01259000,São Paulo,Apartamento,74,3,2,2,2,2019-02-14,Venda,577500,0,MONTHLY,NA,0
Avenida Queiroz Filho,1560,Vila Hamburguesa,05319000,São Paulo,Escritório,59,0,0,0,2,2019-02-13,Locação,2520,489,MONTHLY,3010,333
Avenida Presidente Altino,NA,Jaguaré,05323002,São Paulo,Apartamento,60,1,0,2,1,2018-11-13,Venda,237999,280,NA,NA,0
Rua Desembargador Euclídes de Campos,48,Vila Anglo Brasileira,05030050,São Paulo,Casa de dois andares,188,3,1,3,2,2018-06-01,Venda,1120000,0,NA,NA,140
Rua Cayowaá,1519,Perdizes,01258011,São Paulo,Apartamento,170,2,1,4,3,2015-11-27,Venda,840000,2100,NA,NA,700
Rua Capital Federal,308,Sumaré,01259010,São Paulo,Apartamento,96,2,NA,2,NA,2018-09-13,Venda,546000,192,NA,NA,70
Rua Cayowaá,NA,Sumaré,01258010,São Paulo,Escritório,39,0,0,0,2,2016-03-28,Locação,1680,420,MONTHLY,2100,NA
Rua Cayowaá,NA,Sumaré,01258010,São Paulo,Apartamento,110,1,1,3,2,2015-12-07,Venda,944999,700,NA,NA,189
Rua Capital Federal,475,Sumaré,01259010,São Paulo,Apartamento,201,4,4,5,4,2018-08-03,Venda,1526000,NA,NA,NA,NA
Avenida Pompéia,2146,Vila Pompéia,05022001,São Paulo,Apartamento,60,2,0,2,1,2017-05-20,Venda,350000,560,NA,NA,66
Rua Berlioz,NA,Alto de Pinheiros,05467000,São Paulo,Casa de dois andares,344,6,4,4,4,2017-04-18,Locação,10500,NA,MONTHLY,10500,1297
Rua Aimberê,NA,Sumaré,01258020,São Paulo,Apartamento,130,2,1,3,2,2018-02-07,Venda,692300,840,NA,NA,140
Rua Pedro Soares de Almeida,60,Vila Anglo Brasileira,05029030,São Paulo,Apartamento,81,4,1,3,2,2018-06-04,Venda,553000,648,NA,NA,1155
Rua Salto Grande,258,Sumaré,01257020,São Paulo,Apartamento,84,2,1,3,2,2018-11-27,Venda,560000,714,NA,NA,2310
Rua Heitor Penteado,2164,Sumarezinho,05438300,São Paulo,Apartamento,120,2,0,2,2,2018-12-01,Venda,525000,840,NA,NA,125
Rua Sebastião Caleiro,55,Vila Madalena,05451120,São Paulo,Casa de dois andares,210,5,3,3,4,2016-04-07,Locação,4550,0,MONTHLY,4550,336
Rua Aldo de Azevedo,NA,Vila Madalena,05453030,São Paulo,Casa,238,1,NA,4,3,2015-11-25,Venda,1666000,NA,NA,NA,378
Rua Doutor Alberto Seabra,1070,Vila Madalena,05452000,São Paulo,Apartamento,225,1,3,3,3,2018-12-19,Venda,2520000,2450,NA,NA,0
Rua Boquim,NA,Vila Ida,05454000,São Paulo,Casa,343,2,1,3,4,2018-12-22,Venda,1820000,NA,NA,NA,803
Rua Professor Pirajá da Silva,NA,Vila Madalena,05451090,São Paulo,Apartamento,126,3,1,3,2,2018-11-23,Venda,840000,700,NA,NA,210
Rua Pedro de Sousa Campos Filho,143,Pinheiros,05451010,São Paulo,Apartamento,150,1,2,2,2,2018-09-25,Venda,840000,979,NA,NA,0
Rua Berlioz,NA,Alto de Pinheiros,05467000,São Paulo,Escritório,362,7,4,4,6,2018-11-15,Locação,21000,NA,MONTHLY,21000,1400
Rua Cayowaá,NA,Sumaré,01258903,São Paulo,Apartamento,173,5,2,4,3,2019-01-24,Venda,1854999,1400,NA,NA,350
Rua Heitor Penteado,1900,Sumarezinho,05438100,São Paulo,Comercial,385,4,0,0,4,2018-04-02,Locação,15399,0,MONTHLY,15399,700
Rua Atimba,NA,Vila Madalena,05452020,São Paulo,Casa de dois andares,250,3,1,4,3,2018-11-22,Venda,979999,NA,NA,NA,280
Rua Havaí,NA,Sumaré,01259000,São Paulo,Escritório,200,4,1,3,2,2019-01-31,Venda,1400000,NA,NA,NA,260
Rua Pernambuco,NA,Higienópolis,01240020,São Paulo,Apartamento,182,4,1,3,1,2017-06-22,Venda,1253000,1997,NA,NA,437
Rua Aracaju,42,Higienópolis,01240030,São Paulo,Apartamento,164,3,1,3,0,2018-04-14,Venda,944999,972,NA,NA,251
Rua Doutor Manoel Maria Tourinho,NA,Pacaembu,01236000,São Paulo,Casa,350,6,4,4,3,2018-11-30,Venda,2240000,NA,NA,NA,711
Rua Professor João Arruda,190,Perdizes,05012000,São Paulo,Apartamento,103,2,0,3,2,2018-04-17,Venda,595000,630,NA,NA,161
Rua Dentista Barreto,1,Vila Carrao,03420000,São Paulo,Condomínio,305,4,3,3,4,2014-09-23,Venda,1330000,1819,NA,NA,0
Rua Doutor Manoel Maria Tourinho,NA,Pacaembu,01236000,São Paulo,Casa de dois andares,750,3,3,5,6,2017-06-07,Venda,2100000,NA,NA,NA,350
Rua Barra de Guabiraba,30,Itaquera,08210010,São Paulo,Condomínio,57,2,2,2,1,2018-02-27,Venda,174300,NA,NA,NA,NA
Rua do Trabalho,348,Vila Nova Savoia,03531010,São Paulo,Casa de dois andares,129,2,1,3,3,2018-05-14,Venda,315000,70,NA,NA,979
Rua Maria Eugênia Celso,1,Artur Alvim,03568050,São Paulo,Loja,120,2,0,0,0,2019-01-04,Locação,1333,0,MONTHLY,1333,0
Rua Áureliano Coutinho,136,Santa Cecilia,01224020,São Paulo,Apartamento,43,1,NA,2,1,2018-11-28,Venda,371000,466,NA,NA,33
Rua Pernambuco,204,Higienópolis,01240020,São Paulo,Apartamento,220,1,1,3,2,2017-11-23,Venda,1820000,2870,NA,NA,0
Rua Pernambuco,120,Higienópolis,01240020,São Paulo,Apartamento,230,3,1,3,2,2016-05-25,Venda,1260000,2065,NA,NA,417
Rua Martim Francisco,485,Vila Buarque,01226000,São Paulo,Apartamento,79,1,0,2,0,2017-04-01,Venda,448000,315,NA,NA,0
Rua Engenheiro Edgar Egídio de Sousa,303,Santa Cecília,01233020,São Paulo,Apartamento,453,4,4,4,4,2019-02-22,Venda,3989999,4823,NA,NA,4280
Avenida Higienópolis,826,Consolação,01238000,São Paulo,Apartamento,274,4,1,3,2,2018-05-16,Venda,1959999,1931,NA,NA,6297
Rua Antônio Soares Lara,NA,Itaquera,08210060,São Paulo,Casa de dois andares,90,2,0,2,2,2018-05-16,Venda,259699,0,NA,NA,0
Rua Comendador Gil Pinheiro,1,Chácara Califórnia,03319002,São Paulo,Apartamento,59,1,NA,3,1,2016-01-29,Venda,276500,266,NA,NA,49
Rua Doutor Manoel Maria Tourinho,NA,Pacaembu,01236000,São Paulo,Casa,1420,5,5,5,4,2018-10-20,Locação,18900,0,MONTHLY,18900,0
Rua Aracaju,42,Pacaembu,01240030,São Paulo,Apartamento,160,2,1,3,2,2016-01-21,Venda,875000,1120,NA,NA,280
Rua Maranhão,811,Higienópolis,01240000,São Paulo,Apartamento,118,3,0,3,1,2018-12-16,Venda,805000,1260,NA,NA,237
Rua Maranhão,811,Higienópolis,01240000,São Paulo,Apartamento,118,1,0,3,1,2018-06-13,Venda,805000,1260,NA,NA,0
Rua do Arouche,NA,República,01219000,São Paulo,Apartamento,95,2,1,2,NA,2015-12-14,Venda,455000,315,NA,NA,0
Avenida Doutor Bernardino Brito Fonseca de Carvalho,1661,Vila Talarico,03535000,São Paulo,Apartamento,60,2,1,3,1,2017-10-19,Venda,230299,244,NA,NA,NA
Rua do Lucas,225,Brás,03005000,São Paulo,Apartamento,54,1,0,2,1,2018-04-20,Venda,261099,196,NA,NA,336
Rua Antonieta de Morais,93,Vila Matilde,03517000,São Paulo,Loteamento Residencial,288,0,0,0,0,2019-02-20,Locação,4900,NA,MONTHLY,4900,NA
Rua Jaguaribe,252,Santa Cecilia,01224000,São Paulo,Apartamento,33,1,0,1,1,2018-07-17,Venda,210000,273,NA,NA,0
Rua do Lucas,225,Brás,03005000,São Paulo,Apartamento,51,1,NA,2,1,2018-11-27,Venda,251999,244,NA,NA,7
Rua Martinico Prado,131,Vila Buarque,01224010,São Paulo,Apartamento,218,1,1,3,2,2018-12-05,Venda,1155000,1260,NA,NA,280
Praça Antônio de Paiva Monteiro,1,Vila Gomes Cardim,03319105,São Paulo,Apartamento,89,3,1,3,2,2019-02-01,Venda,486499,475,NA,NA,0
Rua Martinico Prado,71,Vila Buarque,01224010,São Paulo,Apartamento,65,1,NA,2,1,2017-07-29,Locação,1889,702,MONTHLY,2592,NA
Rua Rio de Janeiro,67,Consolação,01240010,São Paulo,Apartamento,180,3,1,4,3,2018-11-09,Venda,1470000,1540,NA,NA,489
Rua Monte Alegre,1352,Perdizes,05014002,São Paulo,Apartamento,165,4,1,3,2,2018-08-04,Venda,875000,1680,NA,NA,210
Avenida Higienópolis,826,Higienópolis,01238000,São Paulo,Apartamento,274,2,1,3,2,2018-09-18,Venda,2450000,1931,NA,NA,629
Praça da República,468,República,01045001,São Paulo,Escritório,212,5,NA,NA,NA,2019-02-22,Locação,3150,2186,MONTHLY,5336,382
Rua Martinico Prado,284,Vila Buarque,01224010,São Paulo,Apartamento,115,1,1,2,1,2018-10-25,Venda,672000,546,NA,NA,82
Rua Rego Freitas,63,República,01220010,São Paulo,Escritório,220,2,0,0,3,2018-01-25,Locação,4200,2730,MONTHLY,6930,672
Rua Santa Isabel,NA,Vila Buarque,01221010,São Paulo,Apartamento,26,0,NA,1,NA,2018-10-25,Venda,217000,0,NA,NA,0
Avenida Higienópolis,870,Consolação,01238000,São Paulo,Apartamento,106,2,1,3,2,2018-10-11,Locação,4200,840,MONTHLY,5040,315
Rua Engenheiro Edgar Egídio de Sousa,303,Higienópolis,01233020,São Paulo,Cobertura,458,7,4,5,4,2018-03-02,Venda,3841599,5213,NA,NA,3925
Rua Tijuco Preto,1063,Tatuapé,03316000,São Paulo,Casa de dois andares,120,1,1,3,1,2018-08-15,Venda,455000,NA,NA,NA,NA
Rua Serra de Botucatu,1368,Vila Gomes Cardim,03317001,São Paulo,Casa de dois andares,150,2,0,2,1,2019-02-05,Venda,385000,0,NA,NA,0
Rua Cantareira,215,Centro,02290000,São Paulo,Casa,246,5,NA,3,4,2018-12-28,Venda,287000,0,NA,NA,0
Rua Aracaju,42,Pacaembu,01240030,São Paulo,Apartamento,167,4,1,3,2,2018-12-18,Locação,3919,965,MONTHLY,4886,301
Rua Cantagalo,2335,Vila Carrao,03319001,São Paulo,Comercial,115,0,0,4,2,2018-10-13,Venda,595000,0,NA,NA,0
Rua Coronel Antônio Marcelo,NA,Belenzinho,03054040,São Paulo,Depósito,376,0,0,0,0,2017-05-17,Venda,1750000,0,NA,NA,6094
Rua Marina,200,Vila Matilde,03516030,São Paulo,Casa de dois andares,270,2,2,3,4,2018-03-16,Venda,489929,0,NA,NA,0
Rua Doutor Alarico Silveira,1,Vila Aricanduva,03502040,São Paulo,Apartamento,48,1,NA,2,1,2016-01-22,Venda,207900,244,NA,NA,0
Rua Padre Estevão Pernet,314,Vila Gomes Cardim,03315000,São Paulo,Comercial,1142,0,0,0,0,2018-10-30,Venda,4059999,0,NA,NA,0
Rua Sete de Outubro,156,Tatuapé,03407040,São Paulo,Apartamento,108,2,1,3,1,2018-11-15,Venda,520099,595,NA,NA,NA
Rua Colonial das Missoes,60,Itaquera,08210120,São Paulo,Casa de dois andares,65,2,0,2,2,2017-10-02,Venda,220500,0,NA,NA,0
Rua Jordão da Costa,99,Vila Nhocune,03563030,São Paulo,Casa de dois andares,163,3,1,3,3,2018-07-17,Venda,413000,0,NA,NA,1122
Rua São Turíbio,134,Jardim Hercilia,03557070,São Paulo,Casa de dois andares,100,2,2,2,2,2019-02-20,Venda,294000,NA,NA,NA,NA
Rua Padre Estevão Pernet,730,Vila Gomes Cardim,03315000,São Paulo,Escritório,39,1,0,0,1,2018-10-26,Venda,244999,0,NA,NA,84
Rua Fernandes Silva,303,Brás,03005010,São Paulo,Depósito,170,2,0,0,0,2018-02-23,Venda,455000,0,NA,NA,203
Rua Sete de Outubro,104,Chácara Califórnia,03407040,São Paulo,Apartamento,69,1,0,2,1,2018-08-15,Venda,244999,273,NA,NA,NA
Rua Vilela,750,Água Rasa,03314000,São Paulo,Apartamento,85,2,1,3,2,2017-04-18,Venda,535500,349,NA,NA,0
Rua Padre Estevão Pernet,597,Vila Gomes Cardim,03315000,São Paulo,Apartamento,84,2,1,3,2,2019-02-23,Venda,482999,700,NA,NA,91
Rua Antônio de Godói,88,Centro,01034000,São Paulo,Escritório,185,2,NA,NA,NA,2018-03-10,Locação,2100,1400,MONTHLY,3500,1260
Rua Toledo Barbosa,NA,Belenzinho,03061000,São Paulo,Comercial,135,3,0,0,0,2018-04-04,Locação,2240,0,MONTHLY,2240,175
Rua Vargem do Cedro,NA,Sumaré,01252050,São Paulo,Apartamento,105,2,1,2,1,2018-04-27,Locação,3500,1225,MONTHLY,4725,133
Rua Toledo Barbosa,476,Belenzinho,03061000,São Paulo,Apartamento,68,2,1,2,1,2017-02-14,Venda,371000,297,NA,NA,49
Rua São Leopoldo,NA,Belenzinho,03055000,São Paulo,Depósito,2496,10,0,0,0,2018-02-02,Locação,28000,0,MONTHLY,28000,0
Rua Piracuama,21,Vila Pompeia,05017040,São Paulo,Apartamento,83,0,0,3,1,2018-07-18,Locação,1819,577,MONTHLY,2397,0
Rua Pio XI,1970,Alto de Pinheiros,05468140,São Paulo,Apartamento,77,2,1,2,1,2018-11-24,Venda,681800,500,NA,NA,0
Rua Comendador Gil Pinheiro,37,Chácara Califórnia,00000000,São Paulo,Escritório,84,2,0,0,1,2018-12-17,Venda,675689,0,NA,NA,0
Rua Piracuama,21,Perdizes,05017040,São Paulo,Apartamento,84,3,1,3,1,2018-08-23,Venda,482999,624,MONTHLY,0,119
Rua Monte Serrat,NA,Tatuapé,03312001,São Paulo,Casa,100,1,0,2,1,2018-11-13,Locação,1750,0,MONTHLY,1750,0
Rua Pedro Gabriel,NA,Vila Gomes Cardim,03317007,São Paulo,Casa de dois andares,60,2,0,2,1,2017-10-02,Venda,402500,0,NA,NA,0
Rua Apucarana,342,Tatuapé,03311001,São Paulo,Apartamento,94,1,1,3,1,2018-05-03,Venda,489299,609,NA,NA,70
Rua Anatólia,NA,Boaçava,05471000,São Paulo,Casa de dois andares,490,5,4,4,4,2018-12-22,Locação,7699,NA,MONTHLY,7699,1260
Rua Romano Schiesari,80,Vila Pompeia,05018020,São Paulo,Apartamento,55,1,0,1,1,2019-01-03,Locação,1889,329,MONTHLY,2219,88
